Extend length in rubberband,Distance,Natural length,Extended length,Difference,,,,repeat experiment,,natural,extended,difference,,,,,,,,,,,,
,196,2.9,4.5,,,,,200,2.9,,4.5,,,,,,,,,,,,,
,112,3.4,4.5,,,,,125,3.4,,4.5,,,,,,,,,,,,,
,176,2.8,4.5,,,,,155,2.8,,4.5,,,,,,,,,,,,,
,213,2.9,4.5,,,,,195,2.9,,4.5,,,,,,,,,,,,,
,198,3,4.5,,,,,205,3,,4.5,,,,,,,,,,,,,
,199,3,4.5,,,,,198,3,,4.5,,,,,,,,,,,,,
,174,3.5,4.5,,,,,176,3.5,,4.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
8TH,376,3,7.5,,,,,417,3,,7.5,,,,,,,,,,,,,
,353,3,7.5,,,,,327,3,,7.5,,,,,,,,,,,,,
,417,2.9,7.5,,,,,397,2.9,,7.5,,,,,,,,,,,,,
,297,3.4,7.5,,,,,322,3.4,,7.5,,,,,,,,,,,,,
,318,2.8,7.5,,,,,344,2.8,,7.5,,,,,,,,,,,,,
,427,2.9,7.5,,,,,425,2.9,,7.5,,,,,,,,,,,,,
,406,3,7.5,,,,,391,3,,7.5,,,,,,,,,,,,,
,402,3,7.5,,,,,402,3,,7.5,,,,,,,,,,,,,
,352,3.5,7.5,,,,,342,3.5,,7.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
9TH,427,3.8,8.5,,,,,420,3.9,,8.5,,,,,,,,,,,,,
,386,3.9,8.5,,,,,370,3.9,,8.5,,,,,,,,,,,,,
,450,3.6,8.5,,,,,452,3.6,,8.5,,,,,,,,,,,,,
,370,3.9,8.5,,,,,404,3.9,,8.5,,,,,,,,,,,,,
,379,3.3,8.5,,,,,378,3.6,,8.5,,,,,,,,,,,,,
,432,3.6,8.5,,,,,352,3.6,,8.5,,,,,,,,,,,,,
,440,3.6,8.5,,,,,442,3.6,,8.5,,,,,,,,,,,,,
,480,3.5,8.5,,,,,450,3.5,,8.5,,,,,,,,,,,,,
,443,3.6,8.5,,,,,450,3.6,,8.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
10TH,498,3.8,9,,,,,410,3.8,,9,,,,,,,,,,,,,
,398,3.9,9,,,,,375,3.9,,9,,,,,,,,,,,,,
,475,3.6,9,,,,,520,3.6,,9,,,,,,,,,,,,,
,425,3.9,9,,,,,435,3.9,,9,,,,,,,,,,,,,
,397,4.1,9,,,,,400,4.1,,9,,,,,,,,,,,,,
,475,3.6,9,,,,,475,3.6,,9,,,,,,,,,,,,,
,480,3.6,9,,,,,480,3.6,,9,,,,,,,,,,,,,
,490,3.5,9,,,,,475,3.5,,9,,,,,,,,,,,,,
,475,3.6,9,,,,,475,3.6,,9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11TH,450,3.8,9.5,,,,,475,3.8,,9.5,,,,,,,,,,,,,
,403,4,9.5,,,,,420,4,,9.5,,,,,,,,,,,,,
,503,3.6,9.5,,,,,500,3.6,,9.5,,,,,,,,,,,,,
,425,4,9.5,,,,,425,4,,9.5,,,,,,,,,,,,,
,405,4.1,9.5,,,,,429,4.1,,9.5,,,,,,,,,,,,,
,490,3.6,9.5,,,,,480,3.6,,9.5,,,,,,,,,,,,,
,485,3.6,9.5,,,,,480,3.6,,9.5,,,,,,,,,,,,,
,525,3.6,9.5,,,,,515,3.6,,9.5,,,,,,,,,,,,,
,520,3.6,9.5,,,,,480,3.6,,9.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12TH,476,3.8,10,,,,,465,3.8,,10,,,,,,,,,,,,,
,428,4,10,,,,,401,4,,10,,,,,,,,,,,,,
,512,3.6,10,,,,,510,3.6,,10,,,,,,,,,,,,,
,430,4,10,,,,,440,4,,10,,,,,,,,,,,,,
,410,4.1,10,,,,,390,4.1,,10,,,,,,,,,,,,,
,500,3.6,10,,,,,510,3.6,,10,,,,,,,,,,,,,
,550,3.6,10,,,,,490,3.6,,10,,,,,,,,,,,,,
,567,3.6,10,,,,,555,3.6,,10,,,,,,,,,,,,,
,550,3.6,10,,,,,528,3.6,,10,,,,,,,,,,,,,

